Week Starting,Region,Age Group,Race or Hispanic Ethnicity,Number of Admissions
04/26/2020,Capital Region,65+,Unknown,1
04/26/2020,Capital Region,65+,White,2
04/26/2020,Central New York,40-64,Asian,1
04/26/2020,Central New York,40-64,Hispanic Or Latino,1
04/26/2020,Central New York,65+,Hispanic Or Latino,1
04/26/2020,Central New York,65+,Other Race,1
04/26/2020,Central New York,65+,White,1
04/26/2020,Finger Lakes,12-18,Unknown,1
04/26/2020,Finger Lakes,40-64,Black Or African American,2
04/26/2020,Finger Lakes,40-64,White,4
04/26/2020,Finger Lakes,65+,Black Or African American,3
04/26/2020,Finger Lakes,65+,White,2
04/26/2020,Long Island,12-18,Unknown,1
04/26/2020,Long Island,19-39,Black Or African American,2
04/26/2020,Long Island,19-39,Hispanic Or Latino,3
04/26/2020,Long Island,19-39,Other Race,1
04/26/2020,Long Island,19-39,White,7
04/26/2020,Long Island,40-64,Asian,2
04/26/2020,Long Island,40-64,Black Or African American,4
04/26/2020,Long Island,40-64,Hispanic Or Latino,4
04/26/2020,Long Island,40-64,Other Race,3
04/26/2020,Long Island,40-64,White,12
04/26/2020,Long Island,65+,Asian,1
04/26/2020,Long Island,65+,Black Or African American,1
04/26/2020,Long Island,65+,Hispanic Or Latino,2
04/26/2020,Long Island,65+,Native Hawaiian Or Other Pacific Islander,1
04/26/2020,Long Island,65+,Other Race,4
04/26/2020,Long Island,65+,White,38
04/26/2020,Long Island,Unknown,Other Race,1
04/26/2020,Mid-Hudson,05-11,Black Or African American,1
04/26/2020,Mid-Hudson,05-11,White,1
04/26/2020,Mid-Hudson,12-18,Hispanic Or Latino,1
04/26/2020,Mid-Hudson,12-18,White,1
04/26/2020,Mid-Hudson,19-39,Black Or African American,3
04/26/2020,Mid-Hudson,19-39,Hispanic Or Latino,3
04/26/2020,Mid-Hudson,19-39,Other Race,1
04/26/2020,Mid-Hudson,19-39,Unknown,1
04/26/2020,Mid-Hudson,19-39,White,3
04/26/2020,Mid-Hudson,40-64,Asian,1
04/26/2020,Mid-Hudson,40-64,Black Or African American,2
04/26/2020,Mid-Hudson,40-64,Hispanic Or Latino,7
04/26/2020,Mid-Hudson,40-64,Unknown,1
04/26/2020,Mid-Hudson,40-64,White,7
04/26/2020,Mid-Hudson,65+,Black Or African American,5
04/26/2020,Mid-Hudson,65+,Hispanic Or Latino,6
04/26/2020,Mid-Hudson,65+,Other Race,1
04/26/2020,Mid-Hudson,65+,White,22
04/26/2020,Mohawk Valley,19-39,Asian,1
04/26/2020,Mohawk Valley,40-64,White,2
04/26/2020,Mohawk Valley,65+,White,3
04/26/2020,New York City,00-04,Black Or African American,1
04/26/2020,New York City,05-11,Black Or African American,1
04/26/2020,New York City,05-11,White,1
04/26/2020,New York City,12-18,Black Or African American,1
04/26/2020,New York City,12-18,Unknown,1
04/26/2020,New York City,19-39,Asian,4
04/26/2020,New York City,19-39,Black Or African American,7
04/26/2020,New York City,19-39,Hispanic Or Latino,8
04/26/2020,New York City,19-39,Other Race,2
04/26/2020,New York City,19-39,Unknown,5
04/26/2020,New York City,19-39,White,9
04/26/2020,New York City,40-64,American Indian Or Alaskan Native,1
04/26/2020,New York City,40-64,Asian,6
04/26/2020,New York City,40-64,Black Or African American,20
04/26/2020,New York City,40-64,Hispanic Or Latino,16
04/26/2020,New York City,40-64,Other Race,12
04/26/2020,New York City,40-64,Unknown,8
04/26/2020,New York City,40-64,White,10
04/26/2020,New York City,65+,Asian,12
04/26/2020,New York City,65+,Black Or African American,27
04/26/2020,New York City,65+,Hispanic Or Latino,19
04/26/2020,New York City,65+,Other Race,12
04/26/2020,New York City,65+,Unknown,12
04/26/2020,New York City,65+,White,42
04/26/2020,Western New York,19-39,White,1
04/26/2020,Western New York,40-64,Black Or African American,3
04/26/2020,Western New York,40-64,White,1
04/26/2020,Western New York,65+,Hispanic Or Latino,1
04/26/2020,Western New York,65+,White,5
05/03/2020,Capital Region,19-39,Black Or African American,1
05/03/2020,Capital Region,19-39,White,2
05/03/2020,Capital Region,40-64,Black Or African American,1
05/03/2020,Capital Region,40-64,Other Race,1
05/03/2020,Capital Region,40-64,White,9
05/03/2020,Capital Region,65+,Asian,2
05/03/2020,Capital Region,65+,Black Or African American,5
05/03/2020,Capital Region,65+,White,25
05/03/2020,Capital Region,Unknown,White,1
05/03/2020,Central New York,00-04,Black Or African American,1
05/03/2020,Central New York,19-39,Black Or African American,2
05/03/2020,Central New York,19-39,Other Race,3
05/03/2020,Central New York,19-39,White,1
05/03/2020,Central New York,40-64,Black Or African American,5
05/03/2020,Central New York,40-64,Hispanic Or Latino,3
05/03/2020,Central New York,40-64,White,11
